Site,Population,Species,Hybrid,Sample,Sequen_ID,Unique_ID,Extrac_event,Sample_Date,Subsampled,Subsampling_Qotes,Lyophilized,DNA_extr,Extr_date,DNA_conc._ng/µl,Extr_Box,Extraction_Method,Extr_notes,PCR1,PCR2,,sample_control
BMLZ,BMLZ,L,,1,BMLZ_L001,BMLZ_L001,1,5/5/2021,yes,not enought tissue (.13g),1,1,5/30/2023,13.9,4,NEW,,0,0,,sample
BMLZ,BMLZ,L,,1,BMLZ_L001,BMLZ_L001,1,5/5/2021,yes,not enought tissue (.13g),1,1,5/30/2023,13.9,4,NEW,,0,0,,sample
BMLZ,BMLZ,L,,1,BMLZ_L001,BMLZ_L001,1,5/5/2021,yes,not enought tissue (.13g),1,1,5/30/2023,13.9,4,NEW,,0,0,,sample
BMLZ,BMLZ,L,,2,BMLZ_L002,BMLZ_L002,1,5/5/2021,yes,not enought tissue (.10g),1,1,5/31/2023,18.9,4,NEW,,0,0,,sample
BMLZ,BMLZ,L,,2,BMLZ_L002,BMLZ_L002,1,5/5/2021,yes,not enought tissue (.10g),1,1,5/31/2023,18.9,4,NEW,,0,0,,sample
BMLZ,BMLZ,L,,2,BMLZ_L002,BMLZ_L002,1,5/5/2021,yes,not enought tissue (.10g),1,1,5/31/2023,18.9,4,NEW,,0,0,,sample
BMLZ,BMLZ,L,,3,BMLZ_L003,BMLZ_L003,1,5/5/2021,,need to find this sample -HF,0,0,,,,,,0,0,,sample
BMLZ,BMLZ,L,,3,BMLZ_L003,BMLZ_L003,1,5/5/2021,,need to find this sample -HF,0,0,,,,,,0,0,,sample
BMLZ,BMLZ,L,,3,BMLZ_L003,BMLZ_L003,1,5/5/2021,,need to find this sample -HF,0,0,,,,,,0,0,,sample
BMLZ,BMLZ,L,,4,BMLZ_L004,BMLZ_L004,1,5/5/2021,yes,not enought tissue (.16g),1,1,5/31/2023,15.3,4,NEW,,0,0,,sample
BMLZ,BMLZ,L,,4,BMLZ_L004,BMLZ_L004,1,5/5/2021,yes,not enought tissue (.16g),1,1,5/31/2023,15.3,4,NEW,,0,0,,sample
BMLZ,BMLZ,L,,4,BMLZ_L004,BMLZ_L004,1,5/5/2021,yes,not enought tissue (.16g),1,1,5/31/2023,15.3,4,NEW,,0,0,,sample
BMLZ,BMLZ,L,Y,5,BMLZ_L005,BMLZ_L005,1,5/5/2021,yes,"not enought tissue (.16g); labeled as ""BML_L5_HYB""",1,1,5/31/2023,13.3,4,NEW,hybrid,0,0,,sample
BMLZ,BMLZ,L,Y,5,BMLZ_L005,BMLZ_L005,1,5/5/2021,yes,"not enought tissue (.16g); labeled as ""BML_L5_HYB""",1,1,5/31/2023,13.3,4,NEW,hybrid,0,0,,sample
BMLZ,BMLZ,L,Y,5,BMLZ_L005,BMLZ_L005,1,5/5/2021,yes,"not enought tissue (.16g); labeled as ""BML_L5_HYB""",1,1,5/31/2023,13.3,4,NEW,hybrid,0,0,,sample
CCNB,CCNB,B,,1,CCNB_B001,CCNB_B001,1,5/21/2022,yes,"not enough tissue (.18g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,31.3,4,NEW,,0,0,,sample
CCNB,CCNB,B,,1,CCNB_B001,CCNB_B001,1,5/21/2022,yes,"not enough tissue (.18g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,31.3,4,NEW,,0,0,,sample
CCNB,CCNB,B,,1,CCNB_B001,CCNB_B001,1,5/21/2022,yes,"not enough tissue (.18g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,31.3,4,NEW,,0,0,,sample
CCNB,CCNB,B,,2,CCNB_B002,CCNB_B002,1,5/21/2022,yes,"not enough tissue (.16g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,24.1,4,NEW,,0,0,,sample
CCNB,CCNB,B,,2,CCNB_B002,CCNB_B002,1,5/21/2022,yes,"not enough tissue (.16g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,24.1,4,NEW,,0,0,,sample
CCNB,CCNB,B,,2,CCNB_B002,CCNB_B002,1,5/21/2022,yes,"not enough tissue (.16g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,24.1,4,NEW,,0,0,,sample
CCNB,CCNB,B,,3,CCNB_B003,CCNB_B003,1,5/21/2022,yes,"not enough tissue (.09g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,7.59,4,NEW,,0,0,,sample
CCNB,CCNB,B,,3,CCNB_B003,CCNB_B003,1,5/21/2022,yes,"not enough tissue (.09g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,7.59,4,NEW,,0,0,,sample
CCNB,CCNB,B,,3,CCNB_B003,CCNB_B003,1,5/21/2022,yes,"not enough tissue (.09g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,7.59,4,NEW,,0,0,,sample
CCNB,CCNB,B,,4,CCNB_B004,CCNB_B004,1,5/21/2022,yes,"not enough tissue (.05g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,5.76,4,NEW,,0,0,,sample
CCNB,CCNB,B,,4,CCNB_B004,CCNB_B004,1,5/21/2022,yes,"not enough tissue (.05g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,5.76,4,NEW,,0,0,,sample
CCNB,CCNB,B,,4,CCNB_B004,CCNB_B004,1,5/21/2022,yes,"not enough tissue (.05g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,5.76,4,NEW,,0,0,,sample
CCNB,CCNB,G,,1,CCNB_G001,CCNB_G001,1,5/21/2022,yes,"not enough tissue (.18g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,16.2,4,NEW,,0,0,,sample
CCNB,CCNB,G,,1,CCNB_G001,CCNB_G001,1,5/21/2022,yes,not enough tissue (.18g),1,1,5/25/2023,16.2,4,NEW,,0,0,,sample
CCNB,CCNB,G,,1,CCNB_G001,CCNB_G001,1,5/21/2022,yes,not enough tissue (.18g),1,1,5/25/2023,16.2,4,NEW,,0,0,,sample
CCNB,CCNB,G,,10,CCNB_G010,CCNB_G010,1,5/21/2022,yes,,1,1,5/12/2023,27.9,3,NEW,,0,0,,sample
CCNB,CCNB,G,,10,CCNB_G010,CCNB_G010,1,5/21/2022,yes,,1,1,5/12/2023,27.9,3,NEW,,0,0,,sample
CCNB,CCNB,G,,10,CCNB_G010,CCNB_G010,1,5/21/2022,yes,,1,1,5/12/2023,27.9,3,NEW,,0,0,,sample
CCNB,CCNB,G,,11,CCNB_G011,CCNB_G011,1,5/21/2022,yes,"not enough tissue (.12g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,12.1,4,NEW,,0,0,,sample
CCNB,CCNB,G,,11,CCNB_G011,CCNB_G011,1,5/21/2022,yes,"not enough tissue (.12g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,12.1,4,NEW,,0,0,,sample
CCNB,CCNB,G,,11,CCNB_G011,CCNB_G011,1,5/21/2022,yes,"not enough tissue (.12g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,12.1,4,NEW,,0,0,,sample
CCNB,CCNB,G,,12,CCNB_G012,CCNB_G012,1,5/21/2022,yes,"not enough tissue (.08g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,8.9,4,NEW,,0,0,,sample
CCNB,CCNB,G,,12,CCNB_G012,CCNB_G012,1,5/21/2022,yes,"not enough tissue (.08g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,8.9,4,NEW,,0,0,,sample
CCNB,CCNB,G,,12,CCNB_G012,CCNB_G012,1,5/21/2022,yes,"not enough tissue (.08g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,8.9,4,NEW,,0,0,,sample
CCNB,CCNB,G,,2,CCNB_G002,CCNB_G002,1,5/21/2022,yes,"not enough tissue (.11g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,7.25,4,NEW,,0,0,,sample
CCNB,CCNB,G,,2,CCNB_G002,CCNB_G002,1,5/21/2022,yes,"not enough tissue (.11g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,7.25,4,NEW,,0,0,,sample
CCNB,CCNB,G,,2,CCNB_G002,CCNB_G002,1,5/21/2022,yes,"not enough tissue (.11g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,7.25,4,NEW,,0,0,,sample
CCNB,CCNB,G,,3,CCNB_G003,CCNB_G003,1,5/21/2022,yes,"not enough tissue (.14g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,7.79,4,NEW,,0,0,,sample
CCNB,CCNB,G,,3,CCNB_G003,CCNB_G003,1,5/21/2022,yes,"not enough tissue (.14g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,7.79,4,NEW,,0,0,,sample
CCNB,CCNB,G,,3,CCNB_G003,CCNB_G003,1,5/21/2022,yes,"not enough tissue (.14g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,7.79,4,NEW,,0,0,,sample
CCNB,CCNB,G,,4,CCNB_G004,CCNB_G004,1,5/21/2022,yes,,1,1,12/19/2022,10.1,2,OLD,,1,1,,sample
CCNB,CCNB,G,,4,CCNB_G004,CCNB_G004,1,5/21/2022,yes,,1,1,12/19/2022,10.1,2,OLD,,1,1,,sample
CCNB,CCNB,G,,4,CCNB_G004,CCNB_G004,1,5/21/2022,yes,,1,1,12/19/2022,10.1,2,OLD,,1,1,,sample
CCNB,CCNB,G,,5,CCNB_G005,CCNB_G005,1,5/21/2022,yes,"not enough tissue (.17g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,14.2,4,NEW,,0,0,,sample
CCNB,CCNB,G,,5,CCNB_G005,CCNB_G005,1,5/21/2022,yes,"not enough tissue (.17g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,14.2,4,NEW,,0,0,,sample
CCNB,CCNB,G,,5,CCNB_G005,CCNB_G005,1,5/21/2022,yes,"not enough tissue (.17g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,14.2,4,NEW,,0,0,,sample
CCNB,CCNB,G,,6,CCNB_G006,CCNB_G006,1,5/21/2022,yes,"not enough tissue (.26g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,13.9,4,NEW,,0,0,,sample
CCNB,CCNB,G,,6,CCNB_G006,CCNB_G006,1,5/21/2022,yes,"not enough tissue (.26g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,13.9,4,NEW,,0,0,,sample
CCNB,CCNB,G,,6,CCNB_G006,CCNB_G006,1,5/21/2022,yes,"not enough tissue (.26g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,13.9,4,NEW,,0,0,,sample
CCNB,CCNB,G,,7,CCNB_G007,CCNB_G007,1,5/21/2022,yes,"not enough tissue (.15g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,11.2,4,NEW,,0,0,,sample
CCNB,CCNB,G,,7,CCNB_G007,CCNB_G007,1,5/21/2022,yes,"not enough tissue (.15g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,11.2,4,NEW,,0,0,,sample
CCNB,CCNB,G,,7,CCNB_G007,CCNB_G007,1,5/21/2022,yes,"not enough tissue (.15g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,11.2,4,NEW,,0,0,,sample
CCNB,CCNB,G,,8,CCNB_G008,CCNB_G008,1,5/21/2022,yes,"not enough tissue (.12g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,12.9,4,NEW,,0,0,,sample
CCNB,CCNB,G,,8,CCNB_G008,CCNB_G008,1,5/21/2022,yes,"not enough tissue (.12g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,12.9,4,NEW,,0,0,,sample
CCNB,CCNB,G,,8,CCNB_G008,CCNB_G008,1,5/21/2022,yes,"not enough tissue (.12g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,12.9,4,NEW,,0,0,,sample
CCNB,CCNB,G,,9,CCNB_G009,CCNB_G009,1,5/21/2022,yes,"not enough tissue (.14g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,4.98,4,NEW,,0,0,,sample
CCNB,CCNB,G,,9,CCNB_G009,CCNB_G009,1,5/21/2022,yes,"not enough tissue (.14g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,4.98,4,NEW,,0,0,,sample
CCNB,CCNB,G,,9,CCNB_G009,CCNB_G009,1,5/21/2022,yes,"not enough tissue (.14g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,4.98,4,NEW,,0,0,,sample
CCRB,CCRB,N,,1,CCRB_N001,CCRB_N001,1,5/5/2022,yes,"2 samples (""A"" and ""B"")",1,1,9/30/2022,,1,OLD,"CCRB-N1_A: Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
CCRB,CCRB,N,,1,CCRB_N001,CCRB_N001,1,5/5/2022,yes,"2 samples (""A"" and ""B"")",1,1,9/30/2022,,1,OLD,"CCRB-N1_A: Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
CCRB,CCRB,N,,1,CCRB_N001,CCRB_N001,1,5/5/2022,yes,"2 samples (""A"" and ""B"")",1,1,9/30/2022,,1,OLD,"CCRB-N1_A: Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
CCRB,CCRB,N,,2,CCRB_N002,CCRB_N002,1,5/5/2022,yes,,1,1,11/5/2022,4.03,2,OLD,,1,1,,sample
CCRB,CCRB,N,,2,CCRB_N002,CCRB_N002,1,5/5/2022,yes,,1,1,11/5/2022,4.03,2,OLD,,1,1,,sample
CCRB,CCRB,N,,2,CCRB_N002,CCRB_N002,1,5/5/2022,yes,,1,1,11/5/2022,4.03,2,OLD,,1,1,,sample
CCRB,CCRB,N,,3,CCRB_N003,CCRB_N003,1,5/5/2022,yes,,1,1,11/5/2022,2.73,1,OLD,,1,1,,sample
CCRB,CCRB,N,,3,CCRB_N003,CCRB_N003,1,5/5/2022,yes,,1,1,11/5/2022,2.73,1,OLD,,1,1,,sample
CCRB,CCRB,N,,3,CCRB_N003,CCRB_N003,1,5/5/2022,yes,,1,1,11/5/2022,2.73,1,OLD,,1,1,,sample
CCRB,CCRB,N,,4,CCRB_N004,CCRB_N004,1,5/5/2022,yes,,1,1,12/19/2022,11.4,2,OLD,,1,1,,sample
CCRB,CCRB,N,,4,CCRB_N004,CCRB_N004,1,5/5/2022,yes,,1,1,12/19/2022,11.4,2,OLD,,1,1,,sample
CCRB,CCRB,N,,4,CCRB_N004,CCRB_N004,1,5/5/2022,yes,,1,1,12/19/2022,11.4,2,OLD,,1,1,,sample
CCRB,CCRB,N,,5,CCRB_N005,CCRB_N005,1,5/5/2022,yes,,1,1,3/14/2023,7.73,3,OLD,,1,1,,sample
CCRB,CCRB,N,,5,CCRB_N005,CCRB_N005,1,5/5/2022,yes,,1,1,3/14/2023,7.73,3,OLD,,1,1,,sample
CCRB,CCRB,N,,5,CCRB_N005,CCRB_N005,1,5/5/2022,yes,,1,1,3/14/2023,7.73,3,OLD,,1,1,,sample
CCRB,CCRB,N,,6,CCRB_N006,CCRB_N006,1,5/5/2022,yes,,1,1,8/26/2022,0.687,1,OLD,,1,1,,sample
CCRB,CCRB,N,,6,CCRB_N006,CCRB_N006,1,5/5/2022,yes,,1,1,8/26/2022,0.687,1,OLD,,1,1,,sample
CCRB,CCRB,N,,6,CCRB_N006,CCRB_N006,1,5/5/2022,yes,,1,1,8/26/2022,0.687,1,OLD,,1,1,,sample
CCRB,CCRB,N,,7,CCRB_N007,CCRB_N007,1,5/5/2022,yes,,1,1,8/26/2022,0.9,1,OLD,*Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
CCRB,CCRB,N,,7,CCRB_N007,CCRB_N007,1,5/5/2022,yes,,1,1,8/26/2022,0.9,1,OLD,*Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
CCRB,CCRB,N,,7,CCRB_N007,CCRB_N007,1,5/5/2022,yes,,1,1,8/26/2022,0.9,1,OLD,*Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
CCRB,CCRB,N,,8,CCRB_N008,CCRB_N008,1,5/5/2022,yes,,1,1,1/19/2023,3.47,2,OLD,,1,1,,sample
CCRB,CCRB,N,,8,CCRB_N008,CCRB_N008,1,5/5/2022,yes,,1,1,1/19/2023,3.47,2,OLD,,1,1,,sample
CCRB,CCRB,N,,8,CCRB_N008,CCRB_N008,1,5/5/2022,yes,,1,1,1/19/2023,3.47,2,OLD,,1,1,,sample
CCRB,CCRB,N,,9,CCRB_N009,CCRB_N009,1,5/5/2022,yes,,1,1,1/12/2023,0.13,2,OLD,,1,1,,sample
CCRB,CCRB,N,,9,CCRB_N009,CCRB_N009,1,5/5/2022,yes,,1,1,1/12/2023,0.13,2,OLD,,1,1,,sample
CCRB,CCRB,N,,9,CCRB_N009,CCRB_N009,1,5/5/2022,yes,,1,1,1/12/2023,0.13,2,OLD,,1,1,,sample
CFZZ,CFZZ,G,,1,CFZZ_G001,CFZZ_G001,1,6/24/2021,yes,,1,1,5/7/2023,16.2,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,1,CFZZ_G001,CFZZ_G001,1,6/24/2021,yes,,1,1,5/7/2023,16.2,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,1,CFZZ_G001,CFZZ_G001,1,6/24/2021,yes,,1,1,5/7/2023,16.2,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,10,CFZZ_G010,CFZZ_G010,1,6/24/2021,yes,,1,1,5/7/2023,13.9,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,10,CFZZ_G010,CFZZ_G010,1,6/24/2021,yes,,1,1,5/7/2023,13.9,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,10,CFZZ_G010,CFZZ_G010,1,6/24/2021,yes,,1,1,5/7/2023,13.9,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,2,CFZZ_G002,CFZZ_G002,1,6/24/2021,yes,,1,1,5/7/2023,24.3,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,2,CFZZ_G002,CFZZ_G002,1,6/24/2021,yes,,1,1,5/7/2023,24.3,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,2,CFZZ_G002,CFZZ_G002,1,6/24/2021,yes,,1,1,5/7/2023,24.3,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,3,CFZZ_G003,CFZZ_G003,1,6/24/2021,yes,,1,1,5/7/2023,13.7,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,3,CFZZ_G003,CFZZ_G003,1,6/24/2021,yes,,1,1,5/7/2023,13.7,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,3,CFZZ_G003,CFZZ_G003,1,6/24/2021,yes,,1,1,5/7/2023,13.7,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,4,CFZZ_G004,CFZZ_G004,1,6/24/2021,yes,,1,1,3/14/2023,3.91,3,OLD,,1,1,,sample
CFZZ,CFZZ,G,,4,CFZZ_G004,CFZZ_G004,1,6/24/2021,yes,,1,1,3/14/2023,3.91,3,OLD,,1,1,,sample
CFZZ,CFZZ,G,,4,CFZZ_G004,CFZZ_G004,1,6/24/2021,yes,,1,1,3/14/2023,3.91,3,OLD,,1,1,,sample
CFZZ,CFZZ,G,,5,CFZZ_G005,CFZZ_G005,1,6/24/2021,yes,,1,1,5/7/2023,8.93,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,5,CFZZ_G005,CFZZ_G005,1,6/24/2021,yes,,1,1,5/7/2023,8.93,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,5,CFZZ_G005,CFZZ_G005,1,6/24/2021,yes,,1,1,5/7/2023,8.93,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,6,CFZZ_G006,CFZZ_G006,1,6/24/2021,yes,,1,1,5/7/2023,11.1,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,6,CFZZ_G006,CFZZ_G006,1,6/24/2021,yes,,1,1,5/7/2023,11.1,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,6,CFZZ_G006,CFZZ_G006,1,6/24/2021,yes,,1,1,5/7/2023,11.1,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,7,CFZZ_G007,CFZZ_G007,1,6/24/2021,yes,not enough tissue (.29g),1,1,5/7/2023,11.5,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,7,CFZZ_G007,CFZZ_G007,1,6/24/2021,yes,not enough tissue (.29g),1,1,5/7/2023,11.5,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,7,CFZZ_G007,CFZZ_G007,1,6/24/2021,yes,not enough tissue (.29g),1,1,5/7/2023,11.5,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,8,CFZZ_G008,CFZZ_G008,1,6/24/2021,yes,,1,1,2/24/2023,3.81,2,OLD,,1,1,,sample
CFZZ,CFZZ,G,,8,CFZZ_G008,CFZZ_G008,1,6/24/2021,yes,,1,1,2/24/2023,3.81,2,OLD,,1,1,,sample
CFZZ,CFZZ,G,,8,CFZZ_G008,CFZZ_G008,1,6/24/2021,yes,,1,1,2/24/2023,3.81,2,OLD,,1,1,,sample
CFZZ,CFZZ,G,,9,CFZZ_G009,CFZZ_G009,1,6/24/2021,yes,,1,1,5/15/2023,39.8,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,9,CFZZ_G009,CFZZ_G009,1,6/24/2021,yes,,1,1,5/15/2023,39.8,3,NEW,,0,0,,sample
CFZZ,CFZZ,G,,9,CFZZ_G009,CFZZ_G009,1,6/24/2021,yes,,1,1,5/15/2023,39.8,3,NEW,,0,0,,sample
FVWB,FVWB,G,,1,FVWB_G001,FVWB_G001,1,5/3/2021,yes,not enought tissue (.24g),1,1,5/31/2023,13.8,4,NEW,,0,0,,sample
FVWB,FVWB,G,,1,FVWB_G001,FVWB_G001,1,5/3/2021,yes,not enought tissue (.24g),1,1,5/31/2023,13.8,4,NEW,,0,0,,sample
FVWB,FVWB,G,,1,FVWB_G001,FVWB_G001,1,5/3/2021,yes,not enought tissue (.24g),1,1,5/31/2023,13.8,4,NEW,,0,0,,sample
HDRB,HDRB,G,,1,HDRB_G001,HDRB_G001,1,5/12/2022,yes,,1,1,10/8/2022,10.7,,OLD,,1,1,,sample
HDRB,HDRB,G,,1,HDRB_G001,HDRB_G001,1,5/12/2022,yes,,1,1,10/8/2022,10.7,,OLD,,1,1,,sample
HDRB,HDRB,G,,1,HDRB_G001,HDRB_G001,1,5/12/2022,yes,,1,1,10/8/2022,10.7,,OLD,,1,1,,sample
HDRB,HDRB,G,,10,HDRB_G010,HDRB_G010,1,5/12/2022,yes,,1,1,9/30/2022,,1,OLD,"Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
HDRB,HDRB,G,,10,HDRB_G010,HDRB_G010,1,5/12/2022,yes,,1,1,9/30/2022,,1,OLD,"Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
HDRB,HDRB,G,,10,HDRB_G010,HDRB_G010,1,5/12/2022,yes,,1,1,9/30/2022,,1,OLD,"Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
HDRB,HDRB,G,,2,HDRB_G002,HDRB_G002,1,5/12/2022,yes,,1,1,9/30/2022,4.29,1,OLD,,1,1,,sample
HDRB,HDRB,G,,2,HDRB_G002,HDRB_G002,1,5/12/2022,yes,,1,1,9/30/2022,4.29,1,OLD,,1,1,,sample
HDRB,HDRB,G,,2,HDRB_G002,HDRB_G002,1,5/12/2022,yes,,1,1,9/30/2022,4.29,1,OLD,,1,1,,sample
HDRB,HDRB,G,,3,HDRB_G003,HDRB_G003,1,5/12/2022,yes,,1,1,12/19/2022,9.4,2,OLD,,1,1,,sample
HDRB,HDRB,G,,3,HDRB_G003,HDRB_G003,1,5/12/2022,yes,,1,1,12/19/2022,9.4,2,OLD,,1,1,,sample
HDRB,HDRB,G,,3,HDRB_G003,HDRB_G003,1,5/12/2022,yes,,1,1,12/19/2022,9.4,2,OLD,,1,1,,sample
HDRB,HDRB,G,,4,HDRB_G004,HDRB_G004,1,5/12/2022,yes,,1,1,12/19/2022,5.98,2,OLD,,1,1,,sample
HDRB,HDRB,G,,4,HDRB_G004,HDRB_G004,1,5/12/2022,yes,,1,1,12/19/2022,5.98,2,OLD,,1,1,,sample
HDRB,HDRB,G,,4,HDRB_G004,HDRB_G004,1,5/12/2022,yes,,1,1,12/19/2022,5.98,2,OLD,,1,1,,sample
HDRB,HDRB,G,,5,HDRB_G005,HDRB_G005,1,5/12/2022,yes,,1,1,10/8/2022,9.33,,OLD,,1,1,,sample
HDRB,HDRB,G,,5,HDRB_G005,HDRB_G005,1,5/12/2022,yes,,1,1,10/8/2022,9.33,,OLD,,1,1,,sample
HDRB,HDRB,G,,5,HDRB_G005,HDRB_G005,1,5/12/2022,yes,,1,1,10/8/2022,9.33,,OLD,,1,1,,sample
HDRB,HDRB,G,,6,HDRB_G006,HDRB_G006,1,5/12/2022,yes,,1,1,10/8/2022,8.53,,OLD,,1,1,,sample
HDRB,HDRB,G,,6,HDRB_G006,HDRB_G006,1,5/12/2022,yes,,1,1,10/8/2022,8.53,,OLD,,1,1,,sample
HDRB,HDRB,G,,6,HDRB_G006,HDRB_G006,1,5/12/2022,yes,,1,1,10/8/2022,8.53,,OLD,,1,1,,sample
HDRB,HDRB,G,,7,HDRB_G007,HDRB_G007,1,5/12/2022,yes,,1,1,8/26/2022,0.0827,1,OLD,*Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
HDRB,HDRB,G,,7,HDRB_G007,HDRB_G007,1,5/12/2022,yes,,1,1,8/26/2022,0.0827,1,OLD,*Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
HDRB,HDRB,G,,7,HDRB_G007,HDRB_G007,1,5/12/2022,yes,,1,1,8/26/2022,0.0827,1,OLD,*Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
